penalty_id,race_id,driver_id,penalty_type,penalty_points,description
184,1154,385,Drive-through,6,Source American system on all.
185,814,2953,Drive-through,5,Phone wind follow north shake fact amount look.
186,2025,1674,Stop-and-go,2,Newspaper necessary law radio inside.
187,1966,2336,Drive-through,1,Nearly run city up tell.
188,1134,2126,Stop-and-go,8,Pm tough school concern contain.
189,1294,1759,Time Penalty,10,Ahead what sit after.
190,1119,2320,Stop-and-go,0,Hot true audience guy.
191,532,1043,Drive-through,0,Would commercial hit generation particular play fine guy.
192,1749,2244,Time Penalty,6,Whatever pick fire which.
193,1118,592,Drive-through,10,He seek western attention.
194,1797,1910,Drive-through,7,We true talk tax debate.
195,566,1620,Drive-through,7,Leader evidence today marriage begin.
196,2620,2584,Stop-and-go,1,Position newspaper think central.
197,623,1261,Drive-through,9,State ever check try Mrs just.
198,1307,2104,Time Penalty,1,Affect guy provide responsibility end consider drug analysis.
199,2135,1984,Drive-through,3,Situation agency story management happen commercial receive pay.
200,476,1157,Drive-through,6,Set check today apply executive million.
201,902,132,Drive-through,0,Remain hear near send table cold.
202,919,527,Drive-through,5,Either thousand face no beat vote per.
203,1896,2585,Time Penalty,8,Five one serve unit report peace.
204,349,757,Time Penalty,4,Seek author reduce long protect safe.
205,257,2394,Stop-and-go,3,Town environment cause theory nothing.
206,2784,2296,Stop-and-go,4,Arrive professional fact.
207,1502,120,Time Penalty,7,West human if answer marriage center.
208,2389,2176,Drive-through,9,Media thousand point guess woman.
209,250,304,Drive-through,7,Policy commercial common face.
210,2104,1,Drive-through,6,Visit six rich lay environmental unit.
211,960,348,Drive-through,1,Yes meeting respond.
212,95,97,Time Penalty,4,Bag executive score ask around way.
213,2850,1362,Time Penalty,5,Job role others back unit.
214,2491,2237,Drive-through,10,Argue reduce whether together.
215,2966,1201,Stop-and-go,9,Security particular successful others out animal chair.
216,553,2145,Drive-through,0,Born treatment before deep raise prove.
217,1507,1061,Drive-through,9,Expert chance structure hot up subject use.
218,1857,529,Stop-and-go,8,International prove interesting various.
219,1920,2140,Drive-through,5,Somebody marriage century school thing.
220,1104,368,Stop-and-go,10,Address have play give voice anything modern.
221,1093,676,Time Penalty,7,Attorney baby hear friend line traditional yet else.
222,478,2616,Drive-through,2,Tell west tonight their.
223,2684,2088,Stop-and-go,9,Authority work statement possible.
224,2919,226,Drive-through,1,Course thousand boy.
225,1293,223,Drive-through,5,Detail father campaign.
226,2633,1773,Stop-and-go,9,Laugh which that something.
227,702,89,Time Penalty,6,Among region former guess.
228,698,2326,Time Penalty,9,Mean past either themselves this trip mean four.
229,1060,1514,Drive-through,5,Second remain short exactly.
230,2875,266,Drive-through,7,Sometimes fall participant director top do again.
231,1701,2298,Time Penalty,1,Movie difficult central throughout would office.
232,2947,2094,Time Penalty,3,Allow fish group mission office line media.
233,2265,6,Stop-and-go,9,Prevent special very hear throughout.
234,1316,1927,Stop-and-go,4,Skill challenge eight professional serve.
235,793,1374,Time Penalty,7,Sing people thus camera action see success.
236,2253,1145,Drive-through,1,Politics partner follow.
237,899,2163,Time Penalty,5,Property popular role light.
238,2344,1780,Drive-through,3,Nature tree plan event able half.
239,782,411,Time Penalty,0,Physical drive create defense hotel child.
240,2194,2363,Stop-and-go,1,Identify age group public bad class rather thus.
241,1260,2149,Drive-through,6,Week free per according wind.
242,2967,540,Drive-through,9,Door reason throw drug factor treat.
243,338,1685,Stop-and-go,1,Own knowledge nothing purpose support would.
244,999,631,Drive-through,9,Mouth early song candidate today open account get.
245,603,468,Time Penalty,9,Production organization there various push teach group example.
246,2311,164,Time Penalty,0,Avoid vote growth rich shake the state.
247,2363,119,Stop-and-go,9,Let word represent lawyer suddenly bit owner.
248,1027,1160,Stop-and-go,3,Enough lose safe student.
249,2662,2360,Time Penalty,10,Dog road customer wide employee.
250,577,1814,Stop-and-go,10,View answer heart attorney.
251,1445,1505,Drive-through,5,Federal about at would consumer yet she debate.
252,980,1729,Time Penalty,0,Add well determine thing.
253,2093,2535,Drive-through,0,Place often college argue necessary political exist around.
254,463,2042,Stop-and-go,9,Message garden blood deep recent off expert.
255,2730,1488,Drive-through,1,Amount on job hundred quite.
256,2332,2106,Drive-through,6,Expect model surface despite according because.
257,2124,1106,Stop-and-go,7,Writer believe however girl thus.
258,2131,2398,Time Penalty,0,Right cup speak card particularly with.
259,2246,2299,Time Penalty,1,Author social not fire again.
260,28,2821,Drive-through,6,Short campaign important term skin hundred.
261,2347,1435,Stop-and-go,7,Response southern sister much really name.
262,888,1735,Drive-through,2,Step record policy same citizen.
263,142,2233,Time Penalty,6,Movie but yet response environmental ball.
264,2742,294,Stop-and-go,3,Sell offer fast agree brother our could.
265,1694,2382,Drive-through,6,Smile such usually.
266,131,2416,Drive-through,3,Cause draw sea stage.
267,573,2703,Time Penalty,6,Spend pick detail responsibility movement indicate everything fish.
268,1031,2434,Drive-through,9,Important conference owner account there college.
269,1353,987,Time Penalty,2,Call one present.
270,1851,2359,Stop-and-go,3,Those understand likely never ground low say.
271,1700,2542,Stop-and-go,2,Believe song over record threat approach return.
272,2878,2643,Drive-through,1,Hope citizen both right bad.
273,225,1071,Stop-and-go,0,Already from rich middle couple election nor.
274,1547,1511,Drive-through,10,Town near get by situation.
275,2310,1052,Drive-through,6,Say worry imagine a.
276,1335,1696,Drive-through,8,Art toward reveal now forget.
277,541,2729,Drive-through,2,Official phone community out tree blood.
278,2763,2829,Drive-through,2,Soon smile country form because each decision.
279,1518,2968,Time Penalty,7,Say eye than happy leg.
280,1886,2023,Drive-through,0,Later current tell glass entire skill.
281,1729,969,Time Penalty,4,Live experience evening community huge throw science.
282,2776,1456,Stop-and-go,3,Tell son task very others inside.
283,1194,2649,Time Penalty,8,Explain doctor skin challenge purpose production.
284,2488,2860,Time Penalty,0,Agency cold middle economy executive end have.
285,2704,1763,Drive-through,10,Firm either arrive local least.
286,2165,2708,Drive-through,7,Billion why road citizen use occur.
287,296,421,Time Penalty,6,Their while remain thing focus born.
288,147,906,Time Penalty,5,Dinner something mouth name benefit.
289,2754,1749,Stop-and-go,7,Quickly maybe score maintain three even our leave.
290,1133,1708,Time Penalty,3,Drug ok argue describe above eight somebody.
291,1980,1864,Drive-through,9,Understand rule break way.
292,320,548,Stop-and-go,10,Decide people animal fund job.
293,2134,2407,Time Penalty,9,Shoulder major answer summer.
294,124,1577,Stop-and-go,4,Tv thousand thus sport some rise wide.
295,1838,2848,Stop-and-go,1,Near range three pass stuff month nor join.
296,176,140,Time Penalty,2,Strategy loss discussion father.
297,119,1191,Drive-through,1,Less church easy these mother.
298,1147,1002,Drive-through,2,Her rock note sense discuss report.
299,515,1915,Time Penalty,2,Win always voice glass will.
300,2894,655,Time Penalty,3,More identify natural.
301,2452,552,Stop-and-go,6,Strong start your his assume dark dark.
302,1085,977,Stop-and-go,0,Window condition also owner well beat seem.
303,1315,2270,Stop-and-go,8,Sign model radio meeting camera test.
304,511,2446,Stop-and-go,5,Exactly wide interest national.
305,2294,314,Time Penalty,3,How peace they force social thank.
306,1407,1852,Stop-and-go,6,Sit product front indicate arm two get though.
307,388,524,Time Penalty,2,Star system degree too growth table weight.
308,2506,495,Drive-through,3,Democrat national director already tonight forward class drug.
309,1575,2132,Time Penalty,6,Visit very information measure through popular western.
310,2816,1954,Time Penalty,1,Seven happy manager turn unit audience.
311,317,1024,Time Penalty,8,Author sister event cover voice north.
312,2498,1398,Drive-through,3,Thus whether try in dark for order.
313,881,1191,Time Penalty,8,Bed method lead by.
314,826,1035,Drive-through,5,Mrs kind space.
315,1573,2439,Stop-and-go,5,Couple member every increase arrive.
316,1365,2600,Stop-and-go,2,Thought get college company.
317,221,1990,Stop-and-go,5,Real course perform ever still yard.
318,144,683,Time Penalty,7,Different general seat since.
319,1441,1152,Time Penalty,9,Bad purpose structure job out important happy.
320,2416,2268,Time Penalty,6,Number allow suddenly voice.
321,1494,648,Drive-through,2,Bag learn but south pass late.
322,2705,38,Stop-and-go,0,Knowledge social our white person water nature.
323,1185,2837,Time Penalty,6,Road brother main itself course during all.
324,28,1500,Stop-and-go,6,Similar term source stuff use stop.
325,1649,1225,Stop-and-go,5,Appear water while interesting since.
326,2203,850,Time Penalty,0,Interesting second research marriage.
327,1342,355,Drive-through,8,Hold author woman treat.
328,2915,749,Time Penalty,1,Situation attack fly nothing ago less.
329,2515,2772,Stop-and-go,10,Consider company interesting.
330,1239,629,Stop-and-go,7,Music into agreement growth.
331,899,1876,Time Penalty,9,Number process country station.
332,949,2038,Stop-and-go,3,While gas your.
333,136,2495,Time Penalty,4,Sound east month will professor.
334,2166,1289,Stop-and-go,9,Do fly strategy sport experience suffer wonder.
335,578,2246,Stop-and-go,2,Mouth final white American.
336,1036,517,Time Penalty,5,Travel mouth sea rather realize cup.
337,1343,1235,Drive-through,10,Structure fire thank middle edge without.
338,1266,2699,Time Penalty,9,Garden beautiful surface order drug information.
339,765,2030,Drive-through,0,Travel film least feel.
340,2760,2104,Drive-through,7,Family pull mind treat central number center culture.
341,904,2050,Stop-and-go,5,Phone visit maintain why page.
342,1945,680,Drive-through,8,And guess organization war someone impact recently history.
343,754,2906,Time Penalty,9,Responsibility movement six south billion process.
344,668,303,Drive-through,4,Drop four government four heart rich exactly.
345,1637,2637,Drive-through,9,Reality arm growth chair minute sometimes together.
346,365,208,Drive-through,4,Every everyone country tend space.
347,2186,495,Time Penalty,4,Place strong stop audience finally until life.
348,843,1663,Stop-and-go,1,We leg politics show mean baby.
349,952,2794,Drive-through,10,Cost compare minute later memory reach white.
350,2471,2154,Stop-and-go,9,Write way goal his.
351,2993,42,Drive-through,10,Discuss who baby place issue.
352,824,1592,Time Penalty,3,Never machine despite well experience middle others.
353,1176,933,Stop-and-go,4,Other relate once character car.
354,1145,2887,Stop-and-go,3,Difference successful degree body ahead call.
355,832,2896,Drive-through,8,You relationship mention research.
356,875,2053,Stop-and-go,6,Central travel listen usually.
357,705,293,Time Penalty,6,Campaign go stock return.
358,1664,1980,Drive-through,10,Forget price even.
359,2707,27,Drive-through,1,Drive push thus election.
360,1488,1172,Drive-through,3,Garden decide customer a.
361,1473,876,Time Penalty,8,Few away spend program too very.
362,2273,1830,Time Penalty,0,Run smile environmental.
363,148,876,Drive-through,5,Out race someone young front.
364,62,1335,Stop-and-go,9,Partner increase room born so something.
365,2469,2467,Stop-and-go,4,Speech three town mind attention range language.
366,2507,1765,Drive-through,2,Provide approach sing mention total herself rule.
367,334,2158,Time Penalty,3,Trip decision believe look offer.
368,1484,507,Time Penalty,2,Reveal receive total attention.
369,903,568,Time Penalty,2,Various record more call friend realize admit.
370,2972,457,Time Penalty,3,Service knowledge energy group.
371,1009,1306,Stop-and-go,5,Whatever call could step half above.
372,567,1775,Stop-and-go,2,However very feel majority million specific debate.
373,1765,1938,Drive-through,5,Opportunity near role south method.
374,201,2447,Drive-through,5,Any month really letter.
375,2103,981,Stop-and-go,10,Between box suffer join enjoy.
376,1232,2291,Drive-through,0,Edge task mission world me various.
377,2613,2026,Stop-and-go,2,Difference type we machine debate.
378,1888,1732,Drive-through,2,Fly machine big thank stop beautiful case.
379,2677,1751,Time Penalty,5,Boy movement ability improve.
380,1063,2075,Time Penalty,8,President really wonder away eat administration.
381,656,2155,Drive-through,0,Cell whole election yard my.
382,2209,2200,Drive-through,9,Authority seem cup get.
383,663,2722,Time Penalty,9,Economic top bad rate identify security stuff.
384,1734,732,Stop-and-go,7,Rule must I fear cell professional.
385,684,217,Time Penalty,9,Mouth argue national.
386,2175,1936,Stop-and-go,0,Think event set national rise.
387,2697,1341,Drive-through,4,Civil great race ready charge expect whom.
388,2661,2308,Drive-through,4,Necessary make yes public air game human.
389,505,2415,Drive-through,7,Why instead teach full poor month.
390,2189,424,Drive-through,10,Economy history world.
391,2172,2249,Stop-and-go,4,Stand represent office.
392,67,902,Drive-through,10,Detail real house food six high assume behavior.
393,2450,1095,Stop-and-go,7,Fish little sure enough else.
394,2947,1974,Drive-through,5,Mission network which.
395,737,2583,Drive-through,6,Within year decide me involve summer send.
396,134,2511,Stop-and-go,8,Third among key office this beautiful include.
397,107,1647,Time Penalty,6,Recently continue by a cut but.
398,2712,1372,Stop-and-go,3,Financial able my become service method good.
399,2917,2484,Drive-through,9,House raise present entire.
400,853,2816,Drive-through,0,Compare appear many phone far everybody.
401,152,653,Drive-through,5,Project spring fire stay well live hand.
402,293,2604,Drive-through,8,Answer understand his young amount traditional.
403,2160,644,Stop-and-go,1,Benefit moment actually may should into environmental.
404,2254,1944,Drive-through,6,Executive administration focus try large arm author.
405,2890,2148,Stop-and-go,9,Subject trip always only.
406,680,2039,Drive-through,4,Professional far edge significant watch compare cultural.
407,856,1273,Time Penalty,2,Into conference everyone those while left.
408,2304,2069,Stop-and-go,2,Kind seem past girl executive forward American reason.
409,321,2532,Time Penalty,8,Present line result ok society smile course.
410,1468,2635,Drive-through,1,Collection still treatment show.
411,377,2205,Stop-and-go,5,Member stuff no civil total nor.
412,2909,1890,Time Penalty,8,Really recently baby within.
413,2907,2410,Drive-through,9,Left oil science career hold like.
414,1563,410,Time Penalty,9,Money future any project than take last skin.
415,150,1142,Stop-and-go,7,Response live couple too.
416,1459,1888,Stop-and-go,0,Success case art hour year prepare key.
417,2308,727,Time Penalty,4,Wait exist full film decision couple natural.
418,1226,2516,Drive-through,3,Attention this month feel.
419,451,2521,Time Penalty,0,Citizen summer whole floor around bad.
420,2419,148,Stop-and-go,10,Stand coach resource center line relate.
421,2498,228,Stop-and-go,0,Position event worker animal position positive.
422,2813,127,Drive-through,10,Simple break candidate off.
423,1983,2186,Time Penalty,7,Soon military test always.
424,1080,2060,Stop-and-go,9,Change cut pay.
425,1095,485,Time Penalty,1,Appear option stuff break.
426,400,2287,Drive-through,4,Drug industry on shake feel watch system day.
427,2555,2726,Stop-and-go,5,Challenge police money pressure dream.
428,1067,484,Time Penalty,4,Choice wonder teach situation.
429,725,1736,Time Penalty,4,Song only water myself mother start.
430,1510,536,Time Penalty,9,Mean usually available.
431,1411,2869,Time Penalty,1,Together father edge determine energy prepare.
432,1674,1093,Drive-through,0,Oil lead understand movie short community minute.
433,1057,1580,Time Penalty,1,Financial pretty degree tough talk remain term.
434,2636,1619,Drive-through,3,Skin situation administration hospital.
435,1657,1662,Time Penalty,2,Traditional trade well form it by.
436,1100,1586,Stop-and-go,8,Until hear director truth.
437,1357,1914,Stop-and-go,1,Wind front able discussion PM public practice.
438,1511,916,Drive-through,7,Not human among guess action throughout vote.
439,2526,1260,Stop-and-go,0,Amount growth close.
440,274,1571,Time Penalty,4,Conference food actually cultural.
441,1883,2796,Time Penalty,0,Their reach part in I behavior.
442,1247,2098,Time Penalty,9,Ready bad industry gas well join relate management.
443,1599,2817,Drive-through,1,Wrong unit order there on.
444,2895,1708,Time Penalty,3,Owner rate focus first certainly himself explain gas.
445,2117,2190,Time Penalty,7,Protect mission nature receive tough garden full.
446,267,471,Time Penalty,3,Low mouth author road son relationship surface wonder.
447,2038,2966,Stop-and-go,6,Enough citizen citizen name beyond property cover.
448,2259,405,Time Penalty,3,Understand despite forward hour American baby.
449,2478,185,Drive-through,0,Can smile then a throw.
450,1896,2628,Time Penalty,0,Center education daughter play stuff.
451,2708,1023,Stop-and-go,9,Detail character soldier can father offer.
452,771,1793,Time Penalty,1,Keep member join space story heavy office rate.
453,371,2187,Drive-through,0,Kitchen place ago garden.
454,2834,1670,Time Penalty,0,Music customer likely.
455,2066,2623,Drive-through,7,South themselves high even like.
456,366,20,Drive-through,5,Politics traditional law network choice system.
457,283,214,Stop-and-go,9,All network white Mr poor.
458,1693,2832,Stop-and-go,5,Doctor he tonight.
459,932,2987,Stop-and-go,8,Question keep hospital a.
460,466,1408,Time Penalty,4,Its four tonight usually over attorney.
461,1385,1112,Drive-through,0,Collection drop moment.
462,2372,2550,Drive-through,7,Thus life ball full effort trouble here fact.
463,2291,2231,Time Penalty,1,Note sure various crime future food small yes.
464,545,1306,Stop-and-go,4,Party money friend whole simply policy idea.
465,1920,1437,Time Penalty,1,Source program again me friend song.
466,1321,2203,Stop-and-go,9,Allow cost artist our use.
467,2026,1120,Stop-and-go,4,Control report amount impact what cell.
468,2383,408,Stop-and-go,3,Once minute certainly.
469,1453,2963,Stop-and-go,0,The choice available or southern amount still box.
470,637,1696,Stop-and-go,1,Station wish help wall turn least.
471,1670,78,Drive-through,0,War fine gun create speech work.
472,562,2847,Stop-and-go,6,Program decide sport produce safe quite.
473,427,1792,Stop-and-go,10,Improve including impact himself.
474,1949,2145,Stop-and-go,9,Reach on expert security.
475,766,2187,Stop-and-go,3,Response their light PM particular want.
476,2386,1086,Drive-through,4,Follow dog concern near spend near but.
477,2973,2930,Drive-through,3,Three every new huge himself last.
478,2112,1264,Drive-through,6,News these letter improve.
479,1994,2498,Drive-through,2,Write able protect rise often tend.
480,453,679,Drive-through,5,Force player final few tend.
481,2570,1571,Drive-through,8,Course how traditional.
482,256,2061,Stop-and-go,5,Surface interesting worry that.
483,1586,1942,Drive-through,7,Boy majority interest know.
484,2483,582,Stop-and-go,4,Prevent out especially Republican where account shoulder.
485,822,142,Drive-through,6,Side eye dog drop hold sound.
486,1746,887,Stop-and-go,4,Low whom set condition page hope third.
487,1735,2983,Time Penalty,5,Hold participant according interest step late around air.
488,2043,775,Drive-through,1,Easy hit this environmental himself.
489,2411,56,Time Penalty,7,Grow thus player federal.
490,505,2596,Drive-through,10,Team thus eight actually.
