team_id,team_name,base_location
164,"Walker, White and Thomas Racing",Lake Lindsey
165,Warren-Hunter Racing,Donovanberg
166,Richmond Group Racing,Nicholasshire
167,Collier-Bailey Racing,Alexanderbury
168,Nguyen Group Racing,Jenniferfurt
169,Estrada PLC Racing,South John
170,"Rodriguez, Simpson and Rivera Racing",Rogersfort
171,Delgado Ltd Racing,Lake Joyce
172,Grant-George Racing,Lake Tina
173,Stewart Group Racing,Jamesberg
174,Cox Inc Racing,Annetteside
175,Anthony PLC Racing,Nancystad
176,Gray Group Racing,Erinbury
177,"Mosley, Davis and Schultz Racing",Stefaniehaven
178,"Thompson, Day and Bush Racing",East Jacquelinemouth
179,"Cortez, King and Crawford Racing",North Eric
180,"Wang, Ayers and King Racing",Port Craig
181,"Allen, Curry and Montoya Racing",Howellberg
182,Gibson-Petersen Racing,Port Caitlin
183,Hanna-Hawkins Racing,Buckleyburgh
184,Gould-Casey Racing,Joshuaside
185,Williams LLC Racing,Zimmermanhaven
186,"Mcdonald, Smith and Fields Racing",Ronaldmouth
187,Castro PLC Racing,North Caitlinburgh
188,Taylor Ltd Racing,Brettfort
189,Rush-Stephens Racing,North Amy
190,Clark and Sons Racing,Garrettport
191,Reeves-West Racing,South Rhonda
192,Thompson Ltd Racing,Lewisside
193,Bean-Acevedo Racing,East Gina
194,Cherry-Hanson Racing,Jasonbury
195,Robinson-Peterson Racing,West Anthonyburgh
196,Alexander Ltd Racing,Powerschester
197,Aguilar-Bowman Racing,Barneshaven
198,"Bailey, Webb and Brown Racing",Reneefurt
199,"Cruz, Jones and Hicks Racing",Glennshire
200,Blair Ltd Racing,Nicoleton
201,"Anderson, George and Gonzalez Racing",East Melissaview
202,"Maldonado, Long and Gonzalez Racing",East Robertfort
203,"Pena, Watkins and Hicks Racing",North Brian
204,Robinson Inc Racing,New Kelly
205,Scott-Hunt Racing,Tammyberg
206,Clayton-Simmons Racing,South Craig
207,Padilla-Chavez Racing,Tylerfort
208,Clarke and Sons Racing,Jennifermouth
209,"Everett, Morris and Allen Racing",Port Matthew
210,"Clark, Reed and Morgan Racing",Taylorberg
211,"Gutierrez, Roberts and Summers Racing",Lake Kristie
212,Johnson-Peterson Racing,New Melissa
213,"Collins, Adams and Patton Racing",Lucasland
214,Rogers-Buchanan Racing,Larryfort
215,Cervantes-Flowers Racing,Crystalland
216,Baker Group Racing,Geraldfort
217,Michael PLC Racing,Lake Dustinberg
218,"Finley, Hunt and Douglas Racing",Haroldmouth
219,Cannon Group Racing,North Kevin
220,"Brooks, Cox and Lawson Racing",East Erintown
221,Brown PLC Racing,North Ericfort
222,Smith PLC Racing,Port Amy
223,Kelly-Cruz Racing,New Breanna
224,Lewis-Moss Racing,Wileyburgh
225,Stewart-Hernandez Racing,New Catherineside
226,"Schmidt, James and Garcia Racing",Stephenstown
227,Yates and Sons Racing,East Markside
228,Castro-Phillips Racing,Wilkinsport
229,Macdonald-Torres Racing,Cummingsberg
230,Williams-Clayton Racing,North Angela
231,Scott-Snyder Racing,Port Feliciaville
232,Smith-Thomas Racing,New Stevenbury
233,Johnson LLC Racing,New Scottberg
234,Lopez and Sons Racing,Toddmouth
235,Park Ltd Racing,East Jodi
236,Benson-Williams Racing,Smithbury
237,Curtis-Stanley Racing,South Lauraport
238,Garcia Ltd Racing,Lake Carl
239,Nelson-Moore Racing,Thompsonborough
240,Smith Inc Racing,Leslieberg
241,Kerr Inc Racing,Cookborough
242,Sanchez PLC Racing,Ryanville
243,Silva-Tate Racing,Jorgeburgh
244,Faulkner LLC Racing,Ellisborough
245,Crawford-Jarvis Racing,Kimberlyville
246,Aguilar Inc Racing,Port Jonathan
247,Hernandez and Sons Racing,Deborahside
248,"Baldwin, Rice and Hanna Racing",Nicoletown
249,"Watson, Jordan and Wilson Racing",New Laurahaven
250,Delgado-Anderson Racing,Port Peterstad
251,"Johnson, Coleman and Vaughan Racing",Jessicaburgh
252,Moore Ltd Racing,Romeroville
253,Guzman Inc Racing,North Ian
254,Wagner-Nguyen Racing,Williamburgh
255,Johnson PLC Racing,Bakerfort
256,Lewis Group Racing,New Samantha
257,"Richard, Cannon and Pierce Racing",West Justinmouth
258,Thompson Group Racing,Richardsonville
259,Alvarez-Clark Racing,Silvaton
260,Wells-Sloan Racing,South Kyle
261,Michael Inc Racing,Crawfordhaven
262,Rocha-Martinez Racing,Brandonville
263,Christensen-Watson Racing,North Cameronton
264,"Fry, Cervantes and Harrell Racing",New Jessica
265,Carpenter-Bush Racing,Websterfurt
266,Jackson-Lewis Racing,Ortizborough
267,"Wallace, Harmon and Gonzalez Racing",Ginaport
268,"Miller, Jones and Robinson Racing",North Grace
269,Elliott-Rogers Racing,Russellport
270,"Love, Torres and Everett Racing",East Jesus
271,"Evans, White and Martin Racing",Wilsonmouth
272,Walls-Becker Racing,Edwardsmouth
273,"Martinez, Garcia and Taylor Racing",West Jeffreyfurt
274,Williams-Beck Racing,Garcialand
275,Bradford-Bryant Racing,North Carlshire
276,Parker-Anderson Racing,Nicholebury
277,Clark-Stevenson Racing,Valerieburgh
278,"Roman, Burke and Smith Racing",Fosterhaven
279,"Grant, Palmer and Morgan Racing",Emilyland
280,Brewer Inc Racing,South Tracyberg
281,Bray Group Racing,New Jason
282,Haas Inc Racing,New Erikaland
283,Hudson-Williams Racing,South Elizabeth
284,Stevens and Sons Racing,Benjaminland
285,Kelly-Wolf Racing,Lake Nicoleside
286,Mack-Calhoun Racing,North Joychester
287,Brooks Ltd Racing,Port Kristenhaven
288,Gregory-Avila Racing,Harperberg
289,"Joyce, Wright and Reese Racing",Stevenland
290,"Lawrence, Bennett and White Racing",Cheryltown
291,Lopez PLC Racing,Lake Jacquelinemouth
292,Collier and Sons Racing,West Mark
293,May Inc Racing,Mcdowellside
294,Mueller-Allen Racing,Glennbury
295,Nixon-Rasmussen Racing,Michaelside
296,"Arellano, Richardson and Fleming Racing",Thompsonfort
297,"Henry, Hill and Fitzgerald Racing",West Deborah
298,Parks and Sons Racing,Amandaland
299,Suarez-Shelton Racing,Lake Carolynberg
300,Terrell-Moss Racing,West April
301,"Duarte, Green and Richards Racing",Lisabury
302,Long-Perry Racing,Lake Larryland
303,Crosby-Anderson Racing,Morganberg
304,Schwartz-Graves Racing,Port Christopher
305,"Perry, Heath and Pena Racing",North Derek
306,May-Mcknight Racing,Mikeside
307,"Burke, Scott and Murray Racing",West Heidi
308,Black-Munoz Racing,East Jennifer
309,Huynh-Byrd Racing,North Benjaminville
310,Watson-Hale Racing,Gregoryside
311,"Wilson, Browning and Nguyen Racing",Lake Veronica
312,"Black, Hill and Burgess Racing",Natalieburgh
313,"Johnson, Barnes and Rodriguez Racing",Eddieland
314,Miller LLC Racing,Norristown
315,Taylor-Evans Racing,Paulmouth
316,"Miller, Barnes and Jarvis Racing",Warrenborough
317,Stewart Ltd Racing,East Lisa
318,"Robinson, Small and Bowman Racing",Hernandezbury
319,"Harris, Mcknight and Greene Racing",New Stephen
320,Lawson-Lee Racing,Beasleyton
321,Anderson LLC Racing,Whitebury
322,Maldonado LLC Racing,Port Walter
323,"Bradley, Turner and Robinson Racing",Port Brandyfurt
324,Dixon-Wilson Racing,South Amanda
325,"Macias, Huff and Adams Racing",South Jimmyburgh
326,Ortiz Inc Racing,Wilsonchester
327,"Walker, Bradley and Haley Racing",Josephstad
328,"Mclean, Beck and Saunders Racing",West Williamside
329,Friedman Group Racing,Aliciahaven
330,"White, Cummings and Brown Racing",Port Debbie
331,Huang-Hahn Racing,East Mindy
332,Brady-Allen Racing,West Marisatown
333,Chen-Jones Racing,Jasonburgh
334,"Deleon, Thomas and Mcmillan Racing",North Laurenton
335,"Brooks, Adams and Lee Racing",Bakertown
336,Lawrence-Griffin Racing,Lunaton
337,Dean Ltd Racing,South Ashley
338,Thomas-Miller Racing,Marshallberg
339,Bullock Ltd Racing,Simmonsberg
340,Grant PLC Racing,Lake Susan
341,"Bradley, James and Cox Racing",Downschester
342,Romero Inc Racing,Lake Marcus
343,Sanders Inc Racing,Bowenmouth
344,Johnson-Oconnor Racing,Angelamouth
345,Powers-Morrison Racing,Port Julie
346,"Greene, Knight and Rice Racing",Lake Jeffreystad
347,Cruz Group Racing,Carlamouth
348,Carroll PLC Racing,Erinland
349,Williams-Moreno Racing,New Matthewbury
350,Gordon-Davenport Racing,Graytown
351,"Farmer, Owens and Duncan Racing",Brianmouth
352,"Elliott, Norton and Miles Racing",Smithport
353,"Ross, Lee and Smith Racing",Wendyshire
354,Edwards-Watson Racing,Port Philip
355,Murphy-Pierce Racing,Amandabury
356,Blake-Contreras Racing,Berryberg
357,Bass and Sons Racing,Jessicaberg
358,"King, Parker and Glover Racing",Briggshaven
359,Harrison-Andersen Racing,West Cristinahaven
360,Pitts-Hill Racing,New Austinburgh
361,Robinson LLC Racing,Ricardoland
362,Phillips Ltd Racing,Bushbury
363,Martinez-Jenkins Racing,Clarkville
364,Green-Yoder Racing,Crystaltown
365,Howell Inc Racing,Alanstad
366,Odonnell-Norton Racing,West Lisaburgh
367,Cox-Stewart Racing,South Kelly
368,Rodriguez PLC Racing,Brooksport
369,"Goodwin, Johnson and Solomon Racing",Port Shaun
370,Tucker-Schaefer Racing,West Howard
371,"Morton, Davis and Williams Racing",South Amyhaven
372,Payne Group Racing,Lake Charles
373,Fox Ltd Racing,Jerryburgh
374,"Meyers, Aguirre and Gibson Racing",Toddmouth
375,"Miller, White and Case Racing",Port Teresa
376,Baird PLC Racing,South Cindychester
377,"Avila, Moore and Webb Racing",Amberville
378,Snyder and Sons Racing,Schneiderview
379,Norton-Norton Racing,Port Rebekahfort
380,"Johnson, Long and Cross Racing",South Nicholasburgh
381,Gill-Gonzalez Racing,Thomasburgh
382,Carter and Sons Racing,Sherryport
383,Faulkner PLC Racing,Powellshire
384,"Perez, Wright and Molina Racing",East Aliciamouth
385,Mclaughlin and Sons Racing,Jasonborough
386,"Jackson, Washington and Martinez Racing",Port Sarafort
387,Holder Inc Racing,Barkerville
388,Jones Inc Racing,Carterton
389,"Carrillo, Sanders and Robertson Racing",East Curtisberg
390,"Fuentes, Conrad and Watson Racing",North Breanna
391,Castaneda-Lee Racing,Davidshire
392,Richards-Reed Racing,Meganchester
393,"Watson, Smith and Gentry Racing",Rachelfort
394,Diaz LLC Racing,Hallstad
395,"Reeves, Johnson and Olsen Racing",Foxmouth
396,Bernard Inc Racing,South John
397,"Smith, Bell and Delacruz Racing",West Annfort
398,Holland-Wyatt Racing,South Jamesberg
399,"Navarro, White and Richardson Racing",Lake Lynn
400,"Mitchell, Farmer and Nelson Racing",Greenfort
401,"Wood, Henderson and Keller Racing",South Michael
402,Bishop-Jacobson Racing,East Thomas
403,Scott PLC Racing,Port Jeremyfort
404,"Peters, Clark and Sandoval Racing",Lake Robert
405,Torres-Taylor Racing,Lewischester
406,Alexander-Arnold Racing,East Wendy
407,"Powell, Salazar and Lopez Racing",Jessefort
408,"Cowan, Hamilton and Murphy Racing",Christophermouth
409,Mercado and Sons Racing,East John
410,"Gutierrez, Zimmerman and Holt Racing",Leeshire
411,Jackson and Sons Racing,New Jasonside
412,Obrien-Briggs Racing,Theresamouth
413,Rivera Inc Racing,Davidland
414,Thompson-Smith Racing,Richardburgh
415,Miller PLC Racing,Johntown
416,Horton-Griffin Racing,Port Joseph
417,Williams PLC Racing,Michaeltown
418,"Johnson, Rowe and Humphrey Racing",Port Amandaville
419,Sanchez Ltd Racing,Kimton
420,Sandoval-Jackson Racing,Aguilarchester
421,"Smith, Rodriguez and Maldonado Racing",Michaelview
422,Mcdowell-Ray Racing,New Steve
423,Brooks PLC Racing,Leechester
424,"Lewis, Henry and Wolf Racing",New Melissastad
425,Dixon-Cook Racing,West Michaelborough
426,Harris-Salazar Racing,Christopherbury
427,Johnson-Simon Racing,Jamesborough
428,"Robertson, Morgan and Gibson Racing",Owensstad
429,Webb-Mcneil Racing,Mariechester
430,"Thompson, Proctor and Wilson Racing",Choifurt
431,"Wilson, Logan and Smith Racing",Anthonytown
432,Russell Group Racing,Perezberg
433,"Bradford, Weaver and Berry Racing",Kelseyland
434,"Baker, Sutton and Brown Racing",North Eric
435,Benson Inc Racing,South Autumnfurt
436,Booker-Pierce Racing,North Jessicafort
437,"Trevino, Garcia and Parker Racing",Wrightport
438,"Fowler, Baldwin and Edwards Racing",West Elizabeth
439,Johnson-Barry Racing,Patriciamouth
440,"Miller, Holden and Lopez Racing",Michaelfort
441,Mcpherson-Martin Racing,Kelseyton
442,Hill LLC Racing,West Rebecca
443,Villegas Inc Racing,West Brandystad
444,"Sims, Martinez and Rivera Racing",Port Mark
445,Rogers PLC Racing,Wagnerchester
446,Burns-Matthews Racing,South George
447,Scott Inc Racing,West Raymond
448,"Brown, Nguyen and Thompson Racing",Williamview
449,"Schmidt, Gardner and Garza Racing",New Christinehaven
450,Sims-Everett Racing,East Amy
451,Burnett-Drake Racing,Bridgetchester
452,Oneal-Lopez Racing,Cordovaville
453,Anderson-Stewart Racing,Edwardsside
454,Barnes Ltd Racing,Jamesfort
455,Cantu PLC Racing,Crystalhaven
456,Cruz-Cook Racing,Reyesberg
457,"Ortiz, Nguyen and Chapman Racing",Christinaberg
458,Simmons-Jones Racing,North Stephanie
459,Mitchell Ltd Racing,Zavalaburgh
460,"Wilson, Hall and Franklin Racing",Summersview
461,"Ford, Davis and Suarez Racing",Hannahmouth
462,Thornton-Martin Racing,East Michaelbury
463,Hill-Heath Racing,East Lori
464,Mcdaniel-Atkinson Racing,Fordshire
465,"Perry, Aguilar and Moody Racing",West Selena
466,Carroll-Rosario Racing,Kingport
467,Williams-Harris Racing,Markmouth
468,Mays-Clark Racing,Millerport
469,Walker-Reynolds Racing,North Nicole
470,Thomas Group Racing,Johnsonview
471,Lewis LLC Racing,Vangtown
472,"Anderson, Taylor and Jackson Racing",Port Michael
473,"Smith, Wade and Potter Racing",Hortonside
474,Acevedo-Mcdowell Racing,Lake Jacobshire
475,"Cruz, Ibarra and Nelson Racing",Karenstad
476,Reeves Ltd Racing,Leefurt
477,"Weber, Wilson and Daugherty Racing",East Markshire
478,Sawyer Ltd Racing,Mezafort
479,"West, Ramirez and Frank Racing",North Wayneton
480,Horne-Gibson Racing,New Melissatown
481,Clark Ltd Racing,Richardtown
482,"Gonzalez, Wiggins and Morales Racing",Clarkton
483,"Green, Mejia and Hooper Racing",Port Samantha
484,Moore-Webster Racing,Mckayburgh
485,Jones Ltd Racing,New Christophermouth
486,Davis LLC Racing,North Kristenberg
487,Carey LLC Racing,Justinchester
488,"Anderson, Johnson and Manning Racing",Christophershire
489,"Davis, Gonzalez and Kim Racing",Amyton
490,Herrera and Sons Racing,Lake Ericashire
491,"Bryant, Perez and Gaines Racing",North Erikton
492,Hill-Cook Racing,East Angelaport
493,Powers-Herrera Racing,West Michael
494,"Lara, Rodriguez and Johnson Racing",Conwayport
495,Garcia-Williams Racing,New Michele
496,Conway Group Racing,Port Alexandra
497,"Duran, Donaldson and Gentry Racing",Elizabethfurt
498,Jimenez Inc Racing,New William
499,Davis PLC Racing,West Kristin
500,Combs-Mendez Racing,South Williamton
501,Smith Ltd Racing,Michaelburgh
502,Stone Group Racing,Gonzalesmouth
503,Sexton Group Racing,Michaelton
504,"Wu, Hutchinson and Castro Racing",Lake Edwardbury
505,"Sims, Grant and Ramos Racing",Schultzland
506,Harris-Sosa Racing,West Ashleymouth
507,"Manning, Jordan and Tucker Racing",East Lisa
508,Green PLC Racing,North Tracymouth
509,Hill-Turner Racing,Dennisfurt
510,Pope-Owen Racing,Sandersfort
511,"Edwards, Brown and Hatfield Racing",North Danaview
512,Cummings and Sons Racing,Lake Brooke
513,"Smith, Vincent and Rivera Racing",East Scott
514,"Farmer, Howell and Johnson Racing",Parksside
515,Hogan Inc Racing,Caroltown
516,Anderson Ltd Racing,Lake Michaelberg
517,Garcia-Reed Racing,Kylebury
518,Griffin and Sons Racing,Wrightton
519,Navarro-Ware Racing,New Tracy
520,"Manning, Juarez and Carpenter Racing",New Edward
521,"Meyers, Calderon and Smith Racing",Lake Chadhaven
522,Brown-Hughes Racing,Stephanieport
523,Reed-Harris Racing,Smithfurt
524,Morales-Rogers Racing,North Lynn
525,Henderson-Green Racing,Johnsonview
526,Hoffman-Becker Racing,Davidburgh
527,Hamilton LLC Racing,West Jenniferbury
528,Evans-Johnson Racing,Robertside
529,Guerrero and Sons Racing,Hectorshire
530,"Ruiz, Harris and Joseph Racing",Tammyshire
531,Collins-Obrien Racing,North William
532,Graham Inc Racing,West Jennifermouth
533,Gardner and Sons Racing,Wendyton
534,"Wolf, Gordon and Collier Racing",West Joseph
535,Bolton-Howard Racing,Mileshaven
536,Riley Group Racing,West Brian
537,"Hess, Russell and Collins Racing",South Whitneyburgh
538,"Scott, Howard and Johnson Racing",Daniellemouth
539,Chandler-Evans Racing,New Heatherberg
540,"Miller, Carter and Harmon Racing",Ramirezstad
541,Newman Group Racing,North Jennifer
542,Simmons-Frost Racing,West Bradleyburgh
543,"Martin, Douglas and Williams Racing",Wilsonborough
544,Diaz PLC Racing,Andrewtown
545,Hughes LLC Racing,Cherylborough
546,Jones-Anderson Racing,South Robert
547,Wade Ltd Racing,Ericfurt
548,"Harris, Edwards and Padilla Racing",Garymouth
549,"Acevedo, Brown and Cohen Racing",Haleyborough
550,Flores LLC Racing,Howardshire
551,Brown-Stephens Racing,New Robert
552,Townsend-Kim Racing,South Kevinfort
553,Callahan Inc Racing,Wilsonfurt
554,Phillips-Blake Racing,Matthewside
555,Sims-Walker Racing,South Tracyport
556,Howard Group Racing,Tammyland
557,Mullins Group Racing,Cruzberg
558,Hicks Ltd Racing,Garyland
559,Mckinney Ltd Racing,Darrellland
560,"Davis, Estrada and Cox Racing",Adamport
561,Wallace Ltd Racing,West Michellestad
562,Benitez Ltd Racing,Robertsberg
563,Cummings LLC Racing,New Lisatown
564,Kerr and Sons Racing,West Crystalstad
565,Rodriguez Ltd Racing,Port Joshua
566,"Mcdonald, Sandoval and Dougherty Racing",Floreschester
567,Kennedy-Yoder Racing,Gabriellaberg
568,"Carson, Lopez and Lewis Racing",Carterport
569,Anthony-Castaneda Racing,Stephenhaven
570,Sexton and Sons Racing,Phillipsport
571,Russell and Sons Racing,Elizabethberg
572,"Bailey, Clark and Rodriguez Racing",South Yvettestad
573,"Vargas, Fritz and Robertson Racing",South Jessicaport
574,"Walsh, Good and Woodard Racing",East Andrew
575,"Rice, Woods and Thompson Racing",New Cameron
576,"Nelson, Hicks and Ford Racing",North Lauraport
577,Bennett Group Racing,North Hannah
578,Robinson-Drake Racing,Lewischester
579,Conway LLC Racing,Mcdonaldstad
580,Scott Ltd Racing,Buckhaven
581,"Oliver, Avila and Sutton Racing",Parkermouth
582,"Taylor, Hutchinson and Campbell Racing",Timothyport
583,Clark LLC Racing,Coleborough
584,Velazquez PLC Racing,Port Cynthia
585,"Brown, Castro and Zavala Racing",Lake Chad
586,Carpenter Inc Racing,South Joshua
587,Sharp-Armstrong Racing,Anitamouth
588,"Kramer, Sullivan and Allen Racing",Kellymouth
589,"Murillo, Keith and Hess Racing",Timothyshire
590,"Thompson, Bailey and Contreras Racing",Robertsbury
591,Rose-Black Racing,West Chelsey
592,Wong-Berger Racing,North Markburgh
593,Johnson Inc Racing,South Mindytown
594,"Henderson, Mendoza and Park Racing",Torresfurt
595,Sullivan and Sons Racing,Thomasbury
596,Meyers-Hudson Racing,Wilkinsonhaven
597,Ramirez Inc Racing,Gabrielleburgh
598,"Sanchez, Padilla and Landry Racing",Lake Tony
599,Gordon and Sons Racing,Karenside
600,"Rollins, Figueroa and Smith Racing",Holmesfort
601,Burch LLC Racing,Newtonburgh
602,Morgan Group Racing,South William
603,Watson PLC Racing,Colinside
604,Chapman-Garcia Racing,North Terrencechester
605,"Williams, Robinson and Bishop Racing",Ryanhaven
606,Martinez and Sons Racing,Lake Madelinechester
607,Kennedy Ltd Racing,South Susanview
608,"Brown, Sampson and Abbott Racing",Port Sarah
609,Kent-Hernandez Racing,North Zoe
610,"Warren, Torres and Carr Racing",Port Davidview
611,Lozano-Scott Racing,Johnchester
612,Mcmillan-Holmes Racing,Sarahfort
613,Little-Small Racing,Gentryfurt
614,"Kelley, Strong and Lewis Racing",Lake Meganland
615,Hill Group Racing,Heatherstad
616,Salazar-Johnson Racing,Mathewtown
617,"Hughes, Martinez and Lee Racing",New Thomasshire
618,"Turner, Tate and Dean Racing",Lake Patricia
